"","media"
"opportunityemployer",0.4
"studies",0.4
"production",0.39
"digital",0.38
"activism",0.37
"animation",0.37
"computation",0.37
"cybernetics",0.37
"fluent",0.37
"organizing",0.37
"photography",0.37
"platforms",0.37
"telematics",0.37
"film",0.36
"pratt",0.35
"recognizes",0.35
"gaming",0.33
"technologies",0.32
"becker",0.31
"hms",0.31
"ron",0.31
"critical",0.3
"marcos",0.28
"architecture",0.27
"eager",0.27
"new",0.27
"documentary",0.26
"television",0.26
"audio",0.25
"cohort",0.25
"englishapplicants",0.25
"sentence",0.25
"specify",0.25
"txstate",0.25
"design",0.23
"emergence",0.23
"journalism",0.23
"longstanding",0.22
"professional",0.22
"criticism",0.21
"game",0.21
"growing",0.21
"intersection",0.21
"locates",0.21
"networked",0.21
"oxford",0.21
"theory",0.21
"aestheticism",0.2
"appointees",0.2
"approvals",0.2
