"","media"
"games",0.62
"activism",0.6
"cognition",0.6
"examines",0.6
"fabric",0.6
"fit",0.6
"interactive",0.6
"lmcs",0.6
"practitioner",0.6
"reconfigure",0.6
"targeted",0.6
"techs",0.6
"textiles",0.6
"theorists",0.6
"computational",0.57
"civic",0.53
"entertainment",0.53
"lmc",0.53
"digital",0.51
"visualization",0.51
"discovery",0.42
"explores",0.42
"gatech",0.42
"grounding",0.42
"informational",0.42
"investigates",0.42
"secure",0.42
"caldwell",0.41
"film",0.41
"karl",0.41
"kholmes",0.41
"tft",0.41
"cinema",0.39
"design",0.39
"asia",0.36
"creativity",0.36
"relation",0.36
"capacity",0.35
"cul",0.35
"focus",0.35
"tural",0.35
"informatics",0.33
"investigation",0.33
"technologies",0.33
"areas",0.31
"especially",0.31
"production",0.29
"combine",0.28
"models",0.28
"ucla",0.28
