"","Total"
"teaching",775
"writing",707
"literature",390
"research",361
"experience",356
"studies",330
"phd",299
"program",285
"three",259
"composition",256
"tenure",252
"students",244
"arts",234
"teach",232
"year",231
"track",224
"one",198
"full",192
"curriculum",187
"information",187
"candidate",184
"creative",183
"letters",181
"successful",181
"new",180
"american",174
"qualifications",171
"begin",167
"humanities",167
"academic",163
"opportunity",163
"education",155
"equal",155
"state",153
"review",150
"filled",147
"level",147
"field",143
"time",143
"appointment",142
"august",142
"rhetoric",142
"professional",140
"language",136
"also",135
"related",131
"chair",128
"commitment",127
"including",126
"invites",125
