"","technical"
"communication",0.5
"usability",0.48
"professional",0.43
"gutierrez",0.42
"toscano",0.42
"understand",0.42
"incorporating",0.32
"acknowledges",0.31
"denton",0.31
"marika",0.31
"onsite",0.31
"seigel",0.31
"ttu",0.31
"womans",0.31
"charlotte",0.3
"celebrate",0.29
"hrs",0.29
"postsecondary",0.29
"respected",0.29
"tech",0.28
"afford",0.26
"exhibit",0.26
"houghton",0.26
"mtu",0.26
"townsend",0.26
"unc",0.24
"business",0.23
"shapes",0.23
"technological",0.23
"systems",0.22
"computer",0.21
"westminster",0.21
"aaron",0.2
"convergent",0.2
"eagerness",0.2
"environments",0.2
"greats",0.2
"jeannie",0.2
"kapus",0.2
"kapusj",0.2
"laptop",0.2
"logan",0.2
"maintained",0.2
"mstpc",0.2
"pcem",0.2
"revitalize",0.2
"robust",0.2
"scientific",0.2
"seo",0.2
"socio",0.2
